inner,answer,object,name
Street Dogs,2002,Mike McColgan,bands
Limbonic Art,1993,Krister Dreyer,bands
The High-Lows,1995,Hiroto Kōmoto,bands
Black River,2008,Tomasz Wróblewski,bands
Level 42,1980,Mark King,bands
Level 42,1980,Alan Murphy,bands
Level 42,1980,Boon Gould,bands
Groove Armada,1996,Tom Findlay,bands
Level 42,1980,Nathan King,bands
Level 42,1980,Phil Gould,bands
The Avett Brothers,2000,Scott Avett,bands
The Avett Brothers,2000,Seth Avett,bands
Blue System,1987,Luis Rodríguez,bands
Level 42,1980,Mike Lindup,bands
Kraljevski Apartman,1995,Zoran Lalović,bands
The Avett Brothers,2000,Mike Marsh,bands
Blue System,1987,Michael Scholz,bands
Blue System,1987,Dieter Bohlen,bands
Blue System,1987,Rolf Köhler,bands
Babybird,1995,Stephen Jones,bands
Level 42,1980,Gary Husband,bands
Blue System,1987,Detlef Wiedeke,bands
Leaders of the New School,1989,Busta Rhymes,bands
Slot,2002,Igor Lobanov,bands
Masterboy,1990,Tommy Schleh,bands
Steel Magnolia,2009,Meghan Linsey,bands
Slot,2002,Daria Stavrovic,bands
Coverdale and Page,1991,Jimmy Page,bands
Doves,1998,Jez Williams,bands
The dB's,1978,Peter Holsapple,bands
"Kagrra,",1998,Isshi,bands
Black Oak Arkansas,1970,Tommy Aldridge,bands
Muchachito Bombo Infierno,2005,Jairo Perera,bands
Groove Armada,1996,Andy Cato,bands
Coverdale and Page,1991,David Coverdale,bands
Bläck Fööss,1970,Tommy Engel,bands
Dixie Chicks,1989,Emily Robison,bands
Blind Guardian,1984,Hansi Kürsch,bands
Dixie Chicks,1989,Martie Maguire,bands
La Düsseldorf,1975,Klaus Dinger,bands
Ace of Base,1990,Clara Hagman,bands
Ace of Base,1990,Jonas Berggren,bands
Dixie Chicks,1989,Natalie Maines,bands
Imagination,1981,Leee John,bands
Loituma,1989,Sanna Kurki-Suonio,bands
Ace of Base,1990,Ulf Ekberg,bands
The Futureheads,2000,Ross Millard,bands
Ace of Base,1990,Linn Berggren,bands
Genesis,1967,Phil Collins,bands
Genesis,1967,Ray Wilson,bands
Genesis,1967,Peter Gabriel,bands
Genesis,1967,Steve Hackett,bands
Genesis,1967,Anthony Phillips,bands
Ace of Base,1990,Jenny Berggren,bands
Genesis,1967,Chester Thompson,bands
Genesis,1967,Tony Banks,bands
Zao,1993,Daniel Weydant,bands
Absu,1989,Proscriptor,bands
Genesis,1967,Mike Rutherford,bands
Genesis,1967,Daryl Stuermer,bands
Destiny's Child,1990,Beyoncé,bands
Destiny's Child,1990,LaTavia Roberson,bands
Metronomy,1999,Joseph Mount,bands
Alphaville,1982,Robbie France,bands
The Auteurs,1991,Luke Haines,bands
Genesis,1967,Bill Bruford,bands
Metronomy,1999,Olugbenga Adelekan,bands
Alphaville,1982,Marian Gold,bands
Tangerine Dream,1967,Klaus Schulze,bands
The Mountain Goats,1991,John Darnielle,bands
Alphaville,1982,Bernhard Lloyd,bands
Alphaville,1982,Frank Mertens,bands
Destiny's Child,1990,Michelle Williams,bands
K2,1990,Aleksandra Kovač,bands
Metronomy,1999,Oscar Cash,bands
Destiny's Child,1990,LeToya Luckett,bands
Systems in Blue,2003,Rolf Köhler,bands
Destiny's Child,1990,Kelly Rowland,bands
Metronomy,1999,Anna Prior,bands
Destiny's Child,1990,Farrah Franklin,bands
Tangerine Dream,1967,Edgar Froese,bands
Tangerine Dream,1967,Ulrich Schnauss,bands
Tangerine Dream,1967,Thorsten Quaeschning,bands
Tangerine Dream,1967,Hoshiko Yamane,bands
The Desert Sessions,1997,Josh Homme,bands
KAT-TUN,2001,Jin Akanishi,bands
Gorgoroth,1992,Infernus,bands
Juli,1999,Eva Briegel,bands
Juli,1999,Andreas Herde,bands
Juli,1999,Marcel Römer,bands
Juli,1999,Simon Triebel,bands
Can,1968,Malcolm Mooney,bands
Can,1968,David C. Johnson,bands
Can,1968,Irmin Schmidt,bands
Children of Bodom,1993,Alexi Laiho,bands
Can,1968,Jaki Liebezeit,bands
Children of Bodom,1993,Jaska Raatikainen,bands
Children of Bodom,1993,Roope Latvala,bands
Can,1968,Michael Karoli,bands
Children of Bodom,1993,Henkka Seppälä,bands
Can,1968,Holger Czukay,bands
Can,1968,Rosko Gee,bands
Zebrahead,1996,Ali Tabatabaee,bands
Children of Bodom,1993,Janne Wirman,bands
Children of Bodom,1993,Alexander Kuoppala,bands
Children of Bodom,1993,Daniel Freyberg,bands
Can,1968,Rebop Kwaku Baah,bands
Can,1968,Damo Suzuki,bands
Zebda,1985,Magyd Cherfi,bands
Juli,1999,Jonas Pfetzing,bands
Nevermore,1991,Warrel Dane,bands
Zard,1991,Izumi Sakai,bands
Il était une fois,1972,Joëlle Mogensen,bands
Il était une fois,1972,Lionel Gaillardin,bands
The Shangri-Las,1963,Mary Weiss,bands
The Black Eyed Peas,1995,Fergie,bands
The Black Eyed Peas,1995,Taboo,bands
The Black Eyed Peas,1995,will.i.am,bands
The Black Eyed Peas,1995,Kim Hill,bands
Disturbed,1994,John Moyer,bands
Disturbed,1994,Erich Awalt,bands
The Black Eyed Peas,1995,apl.de.ap,bands
Disturbed,1994,Mike Wengren,bands
Disturbed,1994,David Draiman,bands
The Black Eyed Peas,1995,Sierra Swan,bands
Disturbed,1994,Dan Donegan,bands
Bee Gees,1958,Robin Gibb,bands
Disturbed,1994,Steve Kmak,bands
Bee Gees,1958,Barry Gibb,bands
Bee Gees,1958,Vince Melouney,bands
Jonas Brothers,2005,Joe Jonas,bands
Bee Gees,1958,Maurice Gibb,bands
Jonas Brothers,2005,Nick Jonas,bands
ZZ Top,1969,Billy Gibbons,bands
Jonas Brothers,2005,Kevin Jonas,bands
ZZ Top,1969,Dusty Hill,bands
Radiohead,1985,Jonny Greenwood,bands
Hollywood Undead,2005,Matthew Busek,bands
Hollywood Undead,2005,Shady Jeff,bands
Hollywood Undead,2005,"George ""Johnny 3 Tears"" Ragan",bands
The Jackson 5,1964,Jermaine Jackson,bands
The Jackson 5,1964,Tito Jackson,bands
The Jackson 5,1964,Marlon Jackson,bands
The Jackson 5,1964,Jackie Jackson,bands
Bonde do Rolê,2005,Marina Ribatski,bands
Nightwish,1996,Sami Vänskä,bands
Nightwish,1996,Marco Hietala,bands
Kraftwerk,1970,Henning Schmitz,bands
Kraftwerk,1970,Ralf Hütter,bands
Nightwish,1996,Tuomas Holopainen,bands
Nightwish,1996,Floor Jansen,bands
Nightwish,1996,Jukka Nevalainen,bands
Nightwish,1996,Anette Olzon,bands
Nightwish,1996,Tarja Turunen,bands
Nightwish,1996,Kai Hahto,bands
Kraftwerk,1970,Karl Bartos,bands
Nightwish,1996,Emppu Vuorinen,bands
Hollywood Undead,2005,Deuce,bands
Hollywood Undead,2005,Daniel Rose Murillo,bands
Hollywood Undead,2005,Jordon Kristopher Terrell,bands
Radiohead,1985,Thom Yorke,bands
Radiohead,1985,Philip Selway,bands
Hollywood Undead,2005,Dylara Peter Alvarez,bands
Nightwish,1996,Troy Donockley,bands
Hollywood Undead,2005,J-Dog,bands
Radiohead,1985,Ed O'Brien,bands
Radiohead,1985,Colin Greenwood,bands
Real McCoy,1989,Olaf Jeglitza,bands
Real McCoy,1989,Frank Hassas,bands
No Doubt,1986,Eric Stefani,bands
The Jackson 5,1964,Michael Jackson,bands
The Magnetic Fields,1989,Sam Davol,bands
Real McCoy,1989,Jürgen Wind,bands
Koil,1993,Otong,bands
Nu Virgos,2000,Darya Rostova,bands
Gipsy Kings,1978,Patchaï Reyes,bands
Vanilla Ninja,2002,Maarja Kivi,bands
Nu Virgos,2000,Anastasia Kozhevnikova,bands
Gipsy Kings,1978,Jahloul “Chico” Bouchikhi,bands
Vanilla Ninja,2002,Katrin Siska,bands
Vanilla Ninja,2002,Lenna Kuurmaa,bands
NikitA,2008,Dasha Astafieva,bands
Gipsy Kings,1978,Andre Reyes,bands
Thirty Seconds to Mars,1998,Jared Leto,bands
Blue,2000,Simon Webbe,bands
Vanilla Ninja,2002,Piret Järvis,bands
Vanilla Ninja,2002,Triinu Kivilaan,bands
Gipsy Kings,1978,Paul “Pablo” Reyes,bands
Nu Virgos,2000,Erika Gerceg,bands
Nu Virgos,2000,Misha Romanova,bands
Gipsy Kings,1978,Nicolas Reyes,bands
4Minute,2009,Heo Ga-yoon,bands
4Minute,2009,Son Ji-hyun,bands
Gipsy Kings,1978,Tonino Antoine  Baliardo,bands
Die Ärzte,1982,Rodrigo Andrés González Espindola,bands
4Minute,2009,Hyuna,bands
Gipsy Kings,1978,Diego Baliardo,bands
NikitA,2008,Julia Kavtaradze,bands
4Minute,2009,Kwon So-hyun,bands
The Wanted,2009,Max George,bands
Lyapis Trubetskoy,1989,Siarhei Mikhalok,bands
Die Ärzte,1982,Farin Urlaub,bands
Die Ärzte,1982,Bela B.,bands
4Minute,2009,Jeon Ji-yoon,bands
Jungle Brothers,1987,Sensational,bands
Bathory,1983,Jonas Åkerlund,bands
Crooked Still,2001,Rushad Eggleston,bands
The Magnetic Fields,1989,Claudia Gonson,bands
The Magnetic Fields,1989,John Woo,bands
Koil,1993,Doni,bands
The Magnetic Fields,1989,Stephin Merritt,bands
Wir sind Helden,2000,Judith Holofernes,bands
Lynyrd Skynyrd,1964,Hughie Thomasson,bands
Lynyrd Skynyrd,1964,Larry Junstrom,bands
Lynyrd Skynyrd,1964,Cassie Gaines,bands
Lynyrd Skynyrd,1964,Mark Matejka,bands
Edguy,1992,Jens Ludwig,bands
LCD Soundsystem,2001,James Murphy,bands
Edguy,1992,Felix Bohnke,bands
LCD Soundsystem,2001,Nancy Whang,bands
Edguy,1992,Dirk Sauer,bands
Edguy,1992,Tobias Exxel,bands
Edguy,1992,Tobias Sammet,bands
Fugees,1990,Pras,bands
James Chance and the Contortions,1977,James Chance,bands
Fugees,1990,Lauryn Hill,bands
Avantasia,1999,Tobias Sammet,bands
Coldplay,1996,Phil Harvey,bands
Lacuna Coil,1994,Andrea Ferro,bands
Crashdïet,2000,Martin Sweet,bands
+44,2005,Mark Hoppus,bands
Fugees,1990,Wyclef Jean,bands
Lacuna Coil,1994,Cristina Scabbia,bands
Lynyrd Skynyrd,1964,Bob Burns,bands
Lynyrd Skynyrd,1964,Robert Kearns,bands
2raumwohnung,2000,Inga Humpe,bands
Lynyrd Skynyrd,1964,Owen Hale,bands
Lynyrd Skynyrd,1964,Allen Collins,bands
Lynyrd Skynyrd,1964,Greg T. Walker,bands
Lynyrd Skynyrd,1964,Steve Gaines,bands
Lynyrd Skynyrd,1964,Artimus Pyle,bands
Lynyrd Skynyrd,1964,Billy Powell,bands
Lynyrd Skynyrd,1964,Ean Evans,bands
Lynyrd Skynyrd,1964,Ed King,bands
Lynyrd Skynyrd,1964,Johnny Van Zant,bands
Lynyrd Skynyrd,1964,Ronnie Van Zant,bands
Lynyrd Skynyrd,1964,Gary Rossington,bands
Lynyrd Skynyrd,1964,Kenny Aronoff,bands
Lynyrd Skynyrd,1964,Johnny Colt,bands
Lynyrd Skynyrd,1964,Michael Cartellone,bands
Lynyrd Skynyrd,1964,Rickey Medlocke,bands
Lynyrd Skynyrd,1964,Peter Keys,bands
2raumwohnung,2000,Tommi Eckart,bands
Opeth,1990,Martin Axenrot,bands
Five,1997,J Brown,bands
Knife Party,2011,Rob Swire,bands
Knife Party,2011,Gareth McGrillen,bands
Die Antwoord,2008,Watkin Tudor Jones,bands
Swedish House Mafia,2008,Sebastian Ingrosso,bands
Swedish House Mafia,2008,Henrik Berntsson,bands
Lordi,1992,Mana,bands
Lordi,1992,Tomi Putaansuu,bands
Lordi,1992,Hella,bands
Lordi,1992,Sami Keinänen,bands
Swedish House Mafia,2008,Eric Prydz,bands
Swedish House Mafia,2008,Axwell,bands
Die Antwoord,2008,Yolandi Visser,bands
Lordi,1992,Leena Peisa,bands
Lordi,1992,Jussi Sydänmaa,bands
Lordi,1992,Tonmi Lillman,bands
Lordi,1992,Sami Wolking,bands
Swedish House Mafia,2008,Steve Angello,bands
Lordi,1992,Erna Siikavirta,bands
Lordi,1992,Niko Hurme,bands
Lordi,1992,Samer el Nahhal,bands
Lordi,1992,Sampsa Astala,bands
Pendulum,2002,Paul Kodish,bands
Lordi,1992,Hiisi,bands
Luna Sea,1986,J,bands
Pendulum,2002,Benjamin Mount,bands
Pendulum,2002,KJ Sawka,bands
Pendulum,2002,Peredur ap Gwynedd,bands
Pendulum,2002,Rob Swire,bands
Pendulum,2002,Gareth McGrillen,bands
Lostprophets,1997,Ian Watkins,bands
Rammstein,1994,Christoph Schneider,bands
Opeth,1990,Martin Mendez,bands
Rammstein,1994,Oliver Riedel,bands
ABBA,1972,Benny Andersson,bands
Opeth,1990,Mikael Åkerfeldt,bands
Opeth,1990,Fredrik Åkesson,bands
Opeth,1990,Joakim Svalberg,bands
ABBA,1972,Anni-Frid Lyngstad,bands
Black Rebel Motorcycle Club,1998,Peter Hayes,bands
fripSide,2002,Yoshino Nanjō,bands
fripSide,2002,Satoshi Yaginuma,bands
Arch Enemy,1996,Alissa White-Gluz,bands
Groove Coverage,2001,DJ Novus,bands
Sanctuary,1985,Warrel Dane,bands
Unsane,1988,Pete Shore,bands
The Statler Brothers,1955,Lew DeWitt,bands
Andromeda,1999,Johan Reinholdz,bands
The Lemonheads,1986,Evan Dando,bands
Böhse Onkelz,1980,Stephan Weidner,bands
Avenged Sevenfold,1999,Synyster Gates,bands
Primal Fear,1997,Mat Sinner,bands
Ikimono-gakari,1999,Kiyoe Yoshioka,bands
Skunk Anansie,1994,Robbie France,bands
Primal Fear,1997,Ralf Scheepers,bands
Avenged Sevenfold,1999,M. Shadows,bands
Avenged Sevenfold,1999,Daddy Yankee,bands
Avenged Sevenfold,1999,The Rev,bands
Avenged Sevenfold,1999,Johnny Christ,bands
Avenged Sevenfold,1999,Arin Ilejay,bands
Avenged Sevenfold,1999,Zacky Vengeance,bands
Ikimono-gakari,1999,Yoshiki Mizuno,bands
Ikimono-gakari,1999,Hotaka Yamashita,bands
Love Affair,1966,Lynton Guest,bands
Love Affair,1966,Steve Ellis,bands
Avenged Sevenfold,1999,Brooks Wackerman,bands
Love Affair,1966,Mick Jackson,bands
Love Affair,1966,Morgan Fisher,bands
Riblja Čorba,1978,Rajko Kojić,bands
Chalk Circle,1982,Chris Tait,bands
Moi dix Mois,2002,Mana,bands
Operation Ivy,1987,Jesse Michaels,bands
Love Affair,1966,Maurice Bacon,bands
Love Affair,1966,Rex Brayley,bands
Bauhaus,1978,Kevin Haskins,bands
Neu!,1985,Michael Rother,bands
Il Volo,2010,Gianluca Ginoble,bands
The Strangeloves,1964,Bob Feldman,bands
The Strangeloves,1964,Jerry Goldstein,bands
Bauhaus,1978,David J,bands
Labyrinth,1991,Fabio Lione,bands
Il Volo,2010,Ignazio Boschetto,bands
The Dandy Warhols,1994,Courtney Taylor-Taylor,bands
Maroon 5,1994,Adam Levine,bands
Maroon 5,1994,James Valentine,bands
Silly Wizard,1970,Andy M. Stewart,bands
The Strangeloves,1964,Richard Gottehrer,bands
Maroon 5,1994,Ryan Dusick,bands
Maroon 5,1994,Jesse Carmichael,bands
Steel Panther,1985,Ralph Saenz,bands
Against Me!,1997,Laura Jane Grace,bands
Godspeed You! Black Emperor,1994,Aidan Girt,bands
Godspeed You! Black Emperor,1994,Thierry Amar,bands
Godspeed You! Black Emperor,1994,David Bryant,bands
Godspeed You! Black Emperor,1994,Mike Moya,bands
Godspeed You! Black Emperor,1994,Efrim Menuck,bands
Godspeed You! Black Emperor,1994,Mauro Pezzente,bands
Not Yet,2011,Yuko Oshima,bands
Majestica,2004,Tommy Johansson,bands
Godspeed You! Black Emperor,1994,Karl Lemieux,bands
Counting Crows,1991,Adam Duritz,bands
Godspeed You! Black Emperor,1994,Sophie Trudeau,bands
Delain,2002,Charlotte Wessels,bands
The Fall of Troy,2002,Thomas Erak,bands
Neu!,1971,Michael Rother,bands
Pantera,1981,Dimebag Darrell,bands
Transvision Vamp,1986,Wendy James,bands
Masterplan,2001,Uli Kusch,bands
Bauhaus,1978,Peter Murphy,bands
Bauhaus,1978,Daniel Ash,bands
Il Volo,2010,Piero Barone,bands
System of a Down,1995,Shavo Odadjian,bands
Coldplay,1996,Jonny Buckland,bands
Coldplay,1996,Chris Martin,bands
Coldplay,1996,Guy Berryman,bands
Yat-Kha,1991,Albert Kuvezin,bands
Kraftwerk,1970,Florian Schneider,bands
Kraftwerk,1970,Klaus Dinger,bands
Kraftwerk,1970,Fritz Hilpert,bands
Kraftwerk,1970,Klaus Röder,bands
System of a Down,1995,John Dolmayan,bands
ZZ Top,1969,Frank Beard,bands
Kraftwerk,1970,Falk Grieffenhagen,bands
Kraftwerk,1970,Michael Rother,bands
Kraftwerk,1970,Fernando Abrantes,bands
System of a Down,1995,Daron Malakian,bands
Kraftwerk,1970,Wolfgang Flür,bands
System of a Down,1995,Serj Tankian,bands
System of a Down,1995,Ontronik Khachaturian,bands
Fame,2002,Jessica Andersson,bands
D12,1996,Bizarre,bands
D12,1996,Kuniva,bands
Sodom,1982,Tom Angelripper,bands
Sodom,1982,Stefan Hüskens,bands
Sodom,1982,Frank Gosdzik,bands
D12,1996,Eminem,bands
D12,1996,Swifty McVay,bands
The Offspring,1984,Dexter Holland,bands
D12,1996,Mr. Porter,bands
No Angels,2001,Vanessa Petruo,bands
Billy Talent,1993,Benjamin Kowalewicz,bands
Alphaville,1982,Ricky Echolette,bands
A-ha,1982,Morten Harket,bands
Scooter,1993,Michael Simon,bands
Scooter,1993,Rick J. Jordan,bands
Scooter,1993,Ferris Bueller,bands
Scooter,1993,Phil Speiser,bands
Scooter,1993,H.P. Baxxter,bands
Scooter,1993,Jens Thele,bands
Slade,1966,Dave Hill,bands
Gamma Ray,1988,Kai Hansen,bands
Boney M.,1975,Maizie Williams,bands
Scooter,1993,Axel Coon,bands
Boney M.,1975,Liz Mitchell,bands
Scooter,1993,Jay Frog,bands
Boney M.,1975,Marcia Barrett,bands
Boney M.,1975,Bobby Farrell,bands
Sodom,1981,Tom Angelripper,bands
Sodom,1981,Stefan Hüskens,bands
Sodom,1981,Frank Gosdzik,bands
Korn,1993,David Silveria,bands
The Fuzztones,1981,Rudi Protrudi,bands
Information Society,1989,Paul Robb,bands
The Pussycat Dolls,2003,Lauren Bennett,bands
Dschinghis Khan,1979,Steve Bender,bands
Punch Brothers,2006,Chris Thile,bands
Sirkus Eliassen,2011,Magnus Eliassen,bands
Energy 52,1991,Harald Blüchel,bands
Dschinghis Khan,1979,Leslie Mándoki,bands
Sirkus Eliassen,2011,Erik Eliassen,bands
Dschinghis Khan,1979,Edina Pop,bands
Kispál és a Borz,1987,Gábor Leskovics,bands
Dschinghis Khan,1979,Wolfgang Heichel,bands
Dschinghis Khan,1979,Louis Hendrik Potgieter,bands
Dschinghis Khan,1979,Henriette Heichel,bands
And One,1989,Steve Naghavi,bands
Kispál és a Borz,1987,András Kispál,bands
Kispál és a Borz,1987,András Lovasi,bands
The Mahones,1990,Joe Chithalen,bands
BAP,1976,Wolfgang Niedecken,bands
Anthrax,1981,Joey Belladonna,bands
Minor Threat,1980,Jeff Nelson,bands
Foghat,1971,Dave Peverett,bands
Minor Threat,1980,Ian MacKaye,bands
Minor Threat,1980,Brian Baker,bands
Korpiklaani,1993,Jonne Järvelä,bands
Minor Threat,1980,Steve Hansgen,bands
Mental As Anything,1976,Martin Plaza,bands
Minor Threat,1980,Lyle Preslar,bands
The Drones,1998,Gareth Liddiard,bands
Rammstein,1994,Richard Z. Kruspe,bands
The Smithereens,1980,Pat DiNizio,bands
Fear Factory,1989,Mike Heller,bands
Watarirouka Hashiritai 7,2008,Mayu Watanabe,bands
3T,1995,Taj Jackson,bands
King's X,1980,Jerry Gaskill,bands
Fear Factory,1989,Tony Campos,bands
Fear Factory,1989,Burton C. Bell,bands
The Box Tops,1963,Alex Chilton,bands
Zappa Plays Zappa,2006,Dweezil Zappa,bands
King's X,1980,Doug Pinnick,bands
Fear Factory,1989,Dino Cazares,bands
Sturm und Drang,2004,André Linman,bands
Epica,2002,Mark Jansen,bands
3 Doors Down,1996,Brad Arnold,bands
Epica,2002,Simone Simons,bands
King's X,1980,Ty Tabor,bands
Monrose,2006,Mandy Capristo,bands
Hassisen Kone,1979,Ismo Alanko,bands
Stereophonics,1992,Stuart Cable,bands
Rose Chronicles,1993,Kristy Thirsk,bands
Fugees,2004,Pras,bands
Fugees,2004,Lauryn Hill,bands
The Presidents of the United States of America,1993,Dave Dederer,bands
"Earth, Wind & Fire",1970,Maurice White,bands
Melnitsa,1999,Natalia O'Shea,bands
Sektor Gaza,1987,Yuri Klinskikh,bands
Sarcófago,1985,Wagner Lamounier,bands
Genitorturers,1991,Eric Griffin,bands
Fugees,2004,Wyclef Jean,bands
Rammstein,1994,Paul Landers,bands
Bratmobile,1991,Allison Wolfe,bands
Genitorturers,1991,Gen-XX,bands
Sektor Gaza,1987,Igor Zhirnov,bands
The Tokens,1955,Jay Siegel,bands
Tinpan Orange,2005,Emily Lubitz,bands
Rammstein,1994,Christian Lorenz,bands
The Tokens,1955,Neil Sedaka,bands
Rammstein,1994,Till Lindemann,bands
Supertramp,1969,Roger Hodgson,bands
Ruki Vverh!,1996,Sergey Zhukov,bands
Ruki Vverh!,1996,Aleksey Potehin,bands
Therion,1987,Johan Niemann,bands
Therion,1987,Fredrik Isaksson,bands
Destruction,1982,Marcel Schirmer,bands
Therion,1987,Mats Levén,bands
Dream Theater,1985,Chris Collins,bands
Therion,1987,Peter Hansson,bands
Therion,1987,Kristian Niemann,bands
Dream Theater,1985,John Myung,bands
Dream Theater,1985,Kevin Moore,bands
Therion,1987,Oskar Forss,bands
Dream Theater,1985,Jordan Rudess,bands
Therion,1987,Thomas Vikström,bands
Dream Theater,1985,John Petrucci,bands
Dream Theater,1985,James LaBrie,bands
Dream Theater,1985,Mike Mangini,bands
Therion,1987,Sami Karppinen,bands
Therion,1987,Dan Swanö,bands
Therion,1987,Lars Rosenberg,bands
Therion,1987,Christofer Johnsson,bands
Dream Theater,1985,Mike Portnoy,bands
Therion,1987,Richard Evensand,bands
Therion,1987,Sarah Jezebel Deva,bands
Dream Theater,1985,Charlie Dominici,bands
Dream Theater,1985,Derek Sherinian,bands
Run-D.M.C.,1981,Jam Master Jay,bands
Run-D.M.C.,1981,Joseph Simmons,bands
Shade Empire,1999,Juha Harju,bands
Run-D.M.C.,1981,Darryl McDaniels,bands
Carpathian Forest,1990,Nattefrost,bands
Nokturnal Mortum,1994,Knjaz Varggoth,bands
Destruction,1982,Randy Black,bands
Destruction,1982,Mike Sifringer,bands
Darkthrone,1986,Nocturno Culto,bands
Destruction,1982,Vaaver,bands
Darkthrone,1986,Fenriz,bands
Destruction,1982,Marc Reign,bands
Seven Witches,1998,Jack Frost,bands
The Beach Boys,1961,Brian Wilson,bands
The Beach Boys,1961,Carl Wilson,bands
The Beach Boys,1961,Dennis Wilson,bands
The Beach Boys,1961,Glen Campbell,bands
Europe,1979,John Levén,bands
The Glove,1983,Robert Smith,bands
The Beach Boys,1961,Ricky Fataar,bands
The Beach Boys,1961,Mike Love,bands
The Beach Boys,1961,Bruce Johnston,bands
The Beach Boys,1961,David Marks,bands
Europe,1979,Joey Tempest,bands
Europe,1979,Tony Reno,bands
Maroon 5,1994,Mickey Madden,bands
Europe,1979,Ian Haugland,bands
The Beach Boys,1961,Ed Carter,bands
Tool,1990,Paul D'Amour,bands
Zed,1998,Nathan King,bands
The Beach Boys,1961,Blondie Chaplin,bands
Maroon 5,1994,Matt Flynn,bands
