answer,dist1,dist2,conj_term1,conj_term2
hole,artifact,shape,hawse,cranny
hole,artifact,act,hawse,leak
hole,artifact,shape,hawse,pupil
hole,shape,object,stoma,vent
hole,opening,artifact,stoma,eyelet
hole,opening,event,stoma,puncture
hole,space,artifact,stoma,mortise
hole,space,object,stoma,countersink
hole,artifact,space,vent,micropyle
vegetable,object,dish,flageolet,julienne
vegetable,device,vine,flageolet,cucumber
vegetable,device,organism,flageolet,cauliflower
vegetable,device,plant,flageolet,zucchini
vegetable,artifact,plant,flageolet,leek
vegetable,artifact,herb,flageolet,radish
vegetable,device,organism,flageolet,squash
vegetable,herb,dish,celeriac,chili
vegetable,cut,plant,julienne,potato
vegetable,cut,object,julienne,pea
vegetable,cut,herb,julienne,celery
act,person,message,uxoricide,babble
act,killing,message,uxoricide,ridicule
act,killing,group,uxoricide,choir
act,killing,communication,uxoricide,singsong
act,person,object,uxoricide,radio
act,event,communication,uxoricide,paraphrase
act,killing,examination,uxoricide,oral
act,event,message,uxoricide,cable
act,event,change,uxoricide,socialize
act,killing,change,uxoricide,translate
act,killing,happening,uxoricide,leap
direction,property,object,orthogonality,qibla
direction,shape,object,orthogonality,bearing
direction,property,region,orthogonality,windward
direction,property,travel,orthogonality,tack
direction,object,property,qibla,frontage
direction,object,property,bearing,frontage
direction,property,surface,frontage,windward
direction,property,device,frontage,tack
direction,surface,device,windward,tack
treatment,activity,science,effleurage,bioremediation
treatment,activity,science,thermotherapy,bioremediation
treatment,work,science,digitalization,bioremediation
treatment,work,science,electroconvulsive therapy,bioremediation
treatment,science,state,reflexology,sedation
treatment,activity,science,electrotherapy,bioremediation
treatment,work,science,physical therapy,bioremediation
treatment,science,care,bioremediation,chrysotherapy
treatment,science,activity,bioremediation,allopathy
treatment,science,artifact,bioremediation,douche
treatment,science,care,bioremediation,aromatherapy
dessert,drink,pasta,syllabub,dumpling
dessert,drink,organism,syllabub,snowball
dessert,change,pasta,mousse,dumpling
dessert,solid,organism,dumpling,snowball
gift,activity,writing,subvention,devise
gift,act,payment,subvention,gratuity
gift,activity,state,subvention,present
gift,action,writing,enrichment,devise
gift,action,payment,enrichment,gratuity
gift,improvement,state,enrichment,present
gift,event,document,bestowal,devise
gift,act,payment,bestowal,gratuity
gift,act,state,bestowal,present
gift,activity,writing,contribution,devise
gift,act,payment,contribution,gratuity
workplace,structure,action,forge,roundhouse
workplace,structure,act,forge,workshop
wine,noise,person,plonk,bishop
wine,event,point,plonk,port
doctor,specialist,event,diagnostician,quack
doctor,specialist,event,radiographer,quack
doctor,specialist,event,oncologist,quack
doctor,specialist,event,psychiatrist,quack
ball,communication,material,taw,marble
fungus,food,state,truffle,lichen
fungus,state,change,ergot,mushroom
fungus,state,change,lichen,mushroom
information,communication,pain,news,tenderness
information,communication,state,news,acquaintance
information,message,pain,news,earache
information,message,pain,news,neuralgia
information,communication,pain,news,stomachache
information,message,pain,news,sting
information,communication,fever,news,hyperpyrexia
information,communication,feeling,news,nausea
information,message,condition,news,anemia
information,communication,pain,news,colic
information,communication,state,news,pain
currency,coin,payment,tenpence,cash
currency,coin,payment,penny,cash
currency,coin,payment,sou,cash
currency,payment,coin,cash,threepence
currency,payment,coin,cash,halfpenny
currency,payment,coin,cash,doubloon
currency,payment,coin,cash,farthing
currency,payment,coin,cash,ninepence
currency,payment,coin,cash,fivepence
currency,payment,coin,cash,dime
currency,payment,person,cash,stater
emotion,information,event,joy,titillation
emotion,information,trait,joy,timidity
emotion,information,action,joy,warpath
emotion,information,event,joy,foreboding
emotion,information,act,joy,wrath
emotion,condition,quality,suspense,maleficence
emotion,condition,act,suspense,envy
emotion,condition,trait,suspense,timidity
emotion,condition,act,suspense,wrath
emotion,quality,disposition,maleficence,aggression
emotion,quality,act,maleficence,aggravation
quality,trait,statement,incorrectness,fraudulence
quality,trait,appearance,incorrectness,winsomeness
quality,trait,organization,incorrectness,instrumentality
quality,trait,value,incorrectness,essentiality
quality,trait,appearance,incorrectness,chasteness
quality,trait,state,incorrectness,orderliness
quality,trait,appearance,incorrectness,flamboyance
quality,trait,condition,incorrectness,putrescence
quality,trait,appearance,incorrectness,simulacrum
quality,trait,work,incorrectness,behalf
quality,trait,value,incorrectness,inanity
coat,coin,artifact,copper,parka
coat,material,container,copper,tin
coat,currency,object,copper,mortar
coat,coin,covering,copper,varnish
coat,coin,garment,copper,capote
coat,currency,object,copper,surtout
coat,material,object,copper,pave
coat,currency,decoration,copper,glaze
coat,material,organism,copper,broom
coat,substance,object,copper,dredge
coat,currency,artifact,copper,cobble
fuel,change,container,coke,bunker
fuel,group,container,backlog,bunker
iron,object,substance,mangle,spiegeleisen
iron,artifact,substance,mashie,spiegeleisen
iron,artifact,substance,niblick,spiegeleisen
iron,substance,object,spiegeleisen,putter
property,state,ratio,grace,abundance
property,state,group,grace,bouquet
property,state,degree,grace,depth
property,state,degree,grace,ferocity
property,state,happening,grace,resilience
property,state,energy,grace,radiance
property,state,degree,grace,profundity
property,state,quantity,grace,luxuriance
property,state,color,grace,gamboge
property,state,set,grace,triplicity
property,state,quantity,grace,profusion
trait,doctrine,restraint,animalism,continence
trait,belief,quality,animalism,incorrectness
trait,belief,communication,animalism,obscenity
trait,doctrine,event,animalism,obedience
trait,disposition,feeling,animalism,apathy
trait,doctrine,condition,animalism,tidiness
trait,doctrine,state,animalism,crudeness
trait,disposition,feeling,animalism,exuberance
trait,doctrine,property,animalism,extravagance
trait,belief,condition,animalism,untidiness
trait,disposition,activity,animalism,liveliness
soil,food,change,slop,till
soil,coat,change,mud,till
soil,artifact,change,adobe,till
village,object,group,kampong,moshav
village,group,structure,moshav,kraal
disposition,belief,feeling,animalism,pessimism
disposition,belief,quality,animalism,sternness
disposition,doctrine,quality,animalism,agreeableness
disposition,belief,state,animalism,misanthropy
disposition,belief,event,animalism,toleration
disposition,belief,feeling,animalism,optimism
disposition,belief,feeling,animalism,moodiness
disposition,doctrine,feeling,animalism,friendliness
disposition,doctrine,state,animalism,aggression
disposition,doctrine,substance,animalism,blood
disposition,doctrine,state,animalism,hostility
woman,belief,flower,peri,rosebud
woman,child,container,gamine,baggage
woman,child,act,gamine,heroine
woman,object,condition,baggage,gravida
woman,activity,worker,heroine,maid
woman,object,activity,rosebud,eyeful
woman,activity,worker,eyeful,maid
order,happening,leaf,beep,page
order,transfer,act,beep,summons
order,control,writing,command,requisition
order,event,process,command,embargo
order,act,change,command,overburden
order,artifact,writing,bar,requisition
order,object,work,bar,page
order,table,gathering,bar,muster
order,furniture,event,bar,summons
order,transfer,event,convoke,summons
order,transfer,act,ban,summons
belief,doctrine,religion,animalism,shamanism
belief,disposition,plant,animalism,naiad
belief,disposition,group,animalism,ecumenism
belief,disposition,religion,animalism,fundamentalism
belief,trait,woman,animalism,peri
belief,doctrine,act,animalism,vampirism
belief,doctrine,religion,animalism,evangelicalism
belief,disposition,religion,animalism,revivalism
belief,disposition,process,animalism,functionalism
belief,trait,religion,animalism,quietism
belief,trait,religion,animalism,pentecostalism
letter,symbol,document,resh,bidding
letter,signal,object,resh,encyclical
letter,symbol,object,resh,pastoral
letter,symbol,object,resh,epistle
letter,signal,state,resh,note
letter,symbol,transfer,resh,invite
letter,symbol,document,resh,invitation
letter,symbol,statement,resh,excuse
letter,communication,representation,lambda,bidding
letter,signal,representation,lambda,encyclical
letter,communication,object,lambda,pastoral
event,killing,property,uxoricide,avarice
event,person,practice,uxoricide,nudism
event,act,noise,uxoricide,shrilling
event,action,game,uxoricide,curling
event,killing,change,uxoricide,faint
event,person,activity,uxoricide,childcare
event,killing,activity,uxoricide,angling
event,action,communication,uxoricide,propagation
event,person,change,uxoricide,expose
event,killing,production,uxoricide,canalization
event,action,practice,uxoricide,badgering
object,flower,artifact,pogonia,lazaretto
object,flower,transport,pogonia,bus
object,organism,artifact,pogonia,barrelhouse
object,plant,artifact,pogonia,serge
object,organism,tower,pogonia,barbican
object,flower,artifact,pogonia,doorstop
object,plant,bird,pogonia,eagle
object,orchid,act,pogonia,bow
object,organism,transfer,pogonia,export
object,orchid,artifact,pogonia,gondola
object,orchid,chemical,pogonia,depilatory
aircraft,airplane,increase,seaplane,balloon
aircraft,airplane,increase,floatplane,balloon
aircraft,airplane,increase,airliner,balloon
end,change,object,interject,crown
end,change,object,interject,yardarm
end,change,object,interject,telomere
end,change,region,interject,cusp
end,change,object,interject,railhead
end,change,region,interject,arrowhead
end,change,object,interject,fluke
end,change,object,interject,gaff
end,change,travel,interject,tiptoe
end,change,region,interject,fingertip
end,change,region,interject,nib
protein,food,drug,gelatin,infliximab
mineral,object,ore,meerschaum,hematite
mineral,pipe,organism,meerschaum,cinnabar
mineral,pipe,ore,meerschaum,goethite
mineral,tube,ore,meerschaum,uraninite
mineral,tube,rock,meerschaum,dolomite
mineral,artifact,color,meerschaum,chalk
mineral,compound,ore,alabaster,siderite
mineral,salt,animal,alabaster,cinnabar
mineral,chemical,ore,alabaster,limonite
mineral,salt,color,alabaster,ocher
mineral,chemical,change,alabaster,ruddle
wood,organism,seed,cedar,walnut
wood,shrub,animal,sumac,locust
wood,organism,cut,sumac,log
wood,plant,fruit,teak,walnut
wood,tree,cut,beech,log
wood,organism,cut,larch,log
wood,plant,fruit,poon,walnut
wood,plant,product,pecan,wicker
wood,plant,artifact,eucalyptus,wicker
wood,tree,fruit,tupelo,walnut
wood,tree,work,tupelo,wicker
writer,score,artifact,scribe,bard
writer,score,work,scribe,speller
writer,software,artifact,compiler,bard
writer,communication,work,compiler,gazetteer
writer,actor,work,tragedian,speller
writer,actor,worker,tragedian,framer
writer,actor,object,tragedian,gazetteer
horse,transfer,district,dun,shire
horse,container,district,hackney,shire
law,collection,document,shariah,prohibition
opening,hole,person,stoma,chink
opening,change,hole,crack,cranny
opening,sound,artifact,crack,aperture
opening,change,state,crack,leak
opening,hole,person,cranny,chink
opening,artifact,person,perforation,chink
opening,object,act,perforation,leak
opening,artifact,event,aperture,breach
opening,travel,hole,rip,pupil
opening,person,disease,chink,leak
mixture,alloy,change,latten,gargle
mixture,alloy,solution,latten,collodion
mixture,alloy,change,latten,brine
mixture,alloy,change,latten,gel
mixture,alloy,solution,latten,beef tea
mixture,alloy,solution,latten,manna
mixture,alloy,event,stainless steel,injection
mixture,alloy,solution,stainless steel,austenite
mixture,alloy,happening,stainless steel,gargle
mixture,alloy,food,stainless steel,mash
mixture,alloy,solution,stainless steel,infusion
pipe,maker,device,sewer,trap
signal,letter,award,resh,aliyah
signal,letter,act,resh,recording
signal,letter,object,resh,blinker
signal,letter,writing,resh,cachet
signal,symbol,artifact,resh,armband
signal,letter,change,resh,blip
signal,letter,position,resh,target
signal,symbol,device,lambda,foghorn
signal,letter,event,lambda,recording
signal,symbol,light,lambda,blinker
signal,symbol,message,lambda,readout
space,opening,substance,diastema,sheet
space,opening,angle,diastema,inclination
space,opening,object,diastema,swath
space,opening,angle,diastema,latitude
space,opening,change,diastema,stretch
space,opening,cavity,diastema,hollow
space,opening,object,diastema,cell
space,opening,angle,diastema,right ascension
space,substance,opening,sheet,stoma
space,paper,angle,sheet,magnetic declination
space,substance,opening,sheet,foramen
site,tract,point,dump,antigenic determinant
site,point,tract,antigenic determinant,cemetery
site,position,tract,antigenic determinant,apron
site,position,tract,antigenic determinant,premises
site,point,device,antigenic determinant,tee
site,point,artifact,locus,apron
site,position,tract,locus,rough
substance,material,alloy,guanine,latten
substance,chemical,alloy,guanine,stainless steel
substance,material,hormone,guanine,nandrolone
substance,compound,wood,guanine,sawdust
substance,compound,hormone,guanine,epinephrine
substance,chemical,hormone,guanine,hydrocortisone
substance,compound,hormone,guanine,corticosterone
substance,compound,enzyme,guanine,urease
substance,chemical,mineral,guanine,pyrrhotite
substance,chemical,rock,guanine,bluestone
substance,chemical,vine,guanine,scammony
politician,adult,advocate,bey,internationalist
politician,worker,object,apparatchik,governor
politician,advocate,object,internationalist,governor
politician,advocate,expert,internationalist,technocrat
ratio,quality,distance,prevalence,mileage
ratio,quality,object,prevalence,hematocrit
ratio,quality,number,prevalence,quotient
ratio,quality,property,prevalence,abundance
ratio,quality,state,prevalence,efficiency
ratio,quality,act,prevalence,magnification
ratio,quality,condition,prevalence,morbidity
ratio,quality,property,prevalence,proportion
ratio,quality,rate,prevalence,frequency
ratio,quality,information,prevalence,average
ratio,distance,artifact,mileage,hematocrit
organism,orchid,food,pogonia,haddock
organism,plant,animal,pogonia,barbet
organism,orchid,decoration,pogonia,pompon
organism,flower,animal,pogonia,myna
organism,orchid,herb,pogonia,taro
organism,flower,bacteria,pogonia,botulinus
organism,orchid,animal,pogonia,mare
organism,flower,animal,pogonia,damselfish
organism,plant,fish,pogonia,bowfin
organism,orchid,animal,pogonia,wireworm
organism,plant,fish,pogonia,manta
shrub,rose,substance,multiflora,anil
shrub,rose,artifact,multiflora,broom
shrub,fruit,material,jujube,kenaf
shrub,fruit,property,jujube,lavender
shrub,fruit,device,jujube,pinwheel
shrub,material,rose,rauwolfia,sweetbrier
shrub,substance,herb,rauwolfia,tarragon
shrub,substance,tree,rauwolfia,bayberry
shrub,compound,tree,rauwolfia,myrtle
shrub,material,food,rauwolfia,caper
shrub,substance,adult,rauwolfia,elder
document,communication,artifact,brevet,bidding
document,communication,representation,brevet,encyclical
document,communication,object,brevet,pastoral
document,communication,letter,brevet,epistle
document,communication,transfer,brevet,invite
document,communication,quality,brevet,invitation
document,writing,representation,mandamus,bidding
document,writing,letter,mandamus,encyclical
document,communication,artifact,mandamus,pastoral
document,communication,letter,mandamus,epistle
document,writing,artifact,mandamus,invite
official,worker,end,rapporteur,referee
official,worker,change,tax collector,referee
official,end,worker,referee,lister
official,change,worker,referee,licenser
official,end,worker,referee,presbyter
official,change,worker,referee,nuncio
official,change,politician,referee,apparatchik
official,change,worker,referee,selectman
official,end,worker,referee,diplomat
official,change,worker,referee,procurator
official,end,worker,referee,recruiter
feeling,pain,emotion,discomfort,joy
feeling,condition,emotion,discomfort,malice
feeling,pain,quality,discomfort,maleficence
feeling,pain,emotion,discomfort,hesitance
feeling,pain,emotion,discomfort,jitteriness
feeling,condition,event,discomfort,forgiveness
feeling,pain,trait,discomfort,fearlessness
feeling,pain,act,discomfort,devotion
feeling,pain,emotion,discomfort,aggression
feeling,condition,emotion,discomfort,gloom
feeling,condition,trait,discomfort,humility
house,structure,district,chateau,quarter
house,point,organization,home,palace
house,shelter,building,home,mansion
house,point,artifact,home,manse
house,travel,structure,home,hacienda
house,travel,artifact,home,parsonage
house,travel,building,home,priory
house,point,artifact,home,lamasery
house,travel,room,home,cabin
house,travel,building,home,deanery
house,travel,structure,home,villa
region,organism,surface,mare,celestial sphere
region,mammal,layer,mare,dermis
region,animal,surface,mare,insole
region,mammal,area,mare,airspace
region,animal,end,mare,yardarm
region,animal,surface,mare,sole
region,mammal,layer,mare,cambium
region,organism,position,mare,bridgehead
region,organism,change,mare,rear
region,mammal,communication,mare,hem
region,mammal,layer,mare,exosphere
killing,person,condition,uxoricide,choking
killing,person,state,parricide,suffocation
killing,person,state,parricide,poisoning
killing,condition,poisoning,choking,gassing
killing,criminal,condition,matricide,suffocation
killing,condition,criminal,suffocation,patricide
killing,person,condition,infanticide,poisoning
fish,food,artifact,haddock,manta
fish,food,cord,haddock,trawl
fish,solid,artifact,haddock,thresher
fish,artifact,solid,pompon,turbot
fish,artifact,food,pompon,pickerel
fish,artifact,solid,pompon,prawn
fish,decoration,food,pompon,silver salmon
fish,decoration,food,pompon,mackerel
fish,animal,solid,pompon,red salmon
fish,decoration,solid,pompon,elver
fish,decoration,food,pompon,chinook salmon
position,goal,communication,aim,target
position,goal,communication,aim,sight
position,goal,point,aim,bridgehead
position,goal,object,aim,vantage point
position,goal,spread,aim,deploy
position,goal,point,aim,vantage
position,goal,site,aim,antigenic determinant
position,goal,object,aim,locus
position,goal,object,aim,left
position,goal,tract,aim,site
position,goal,point,aim,lookout
class,verb,change,participle,stamp
class,change,part,tense,verb
game,play,artifact,croquet,softball
game,play,artifact,golf,racquetball
game,play,artifact,golf,poker
game,artifact,action,handball,leapfrog
game,change,play,leapfrog,snooker
sound,happening,change,crunch,sputter
