subject,predicate,object,source,validity
Gregory S. Clark,CEO,Symantec,wikidata,always true
Richard Evelyn Byrd III,child,Richard E. Byrd,wikidata,always true
Jeanne Eagels,hypernym,person,wikidata,always true
John Tyler,hypernym,person,wikidata,always true
Peter Dussmann,founder,Dussmann,wikidata,always true
2018,release year,Next Enti?,wikidata,always true
Bruno Sutter,band member,Massacration,wikidata,always true
deer,meronym,nose,wordnet/conceptnet,always true
bat,hypernym,animal,wordnet/conceptnet,always true
Ángela,child,Pepe Aguilar,wikidata,always true
Anthony,child,Osgood Perkins,wikidata,always true
Gordon Westcott,hypernym,person,wikidata,always true
Jay N. Levine,CEO,OneMain Holdings,wikidata,always true
KB Home,hypernym,company,wikidata,always true
2017,release year,Rangoon,wikidata,always true
lizard,meronym,tail,wordnet/conceptnet,always true
Robert Stevenson,hypernym,person,wikidata,always true
Jason Perry,band member,A,wikidata,always true
Leonard Bosack,founder,Cisco Systems,wikidata,always true
The All-American Rejects,hypernym,band,wikidata,always true
niece,hypernym,person,wordnet/conceptnet,always true
time,hypernym,quantity,wordnet/conceptnet,always true
Bel Canto,hypernym,band,wikidata,always true
sheep,meronym,chest,wordnet/conceptnet,always true
mule,meronym,lip,wordnet/conceptnet,always true
rooster,hypernym,vertebrate,wordnet/conceptnet,always true
Stuart Little 2,hypernym,movie,wikidata,always true
Russia,hypernym,country,wikidata,always true
The Paramounts,hypernym,band,wikidata,always true
bungalow,meronym,wall,wordnet/conceptnet,always true
Tim Skousen,director,Raiders!: The Story of the Greatest Fan Film Ever Made,wikidata,always true
Strange Sensation,hypernym,band,wikidata,always true
earth,/r/PartOf,solar system,conceptnet,always true
Big Kenny,band member,Big & Rich,wikidata,always true
Bokeh,hypernym,movie,wikidata,always true
Samuel C.,child,Samuel Fessenden,wikidata,always true
GODZILLA The Planet Eater,hypernym,movie,wikidata,always true
Marie Bankhead,spouse,Thomas McAdory Owen,wikidata,always true
Stacey Dash,hypernym,person,wikidata,always true
hematology,hypernym,medicine,wordnet/conceptnet,always true
cuckoo,meronym,mouth,wordnet/conceptnet,always true
William Sloane Coffin,hypernym,person,wikidata,always true
rabbit,meronym,cheek,wordnet/conceptnet,always true
man,meronym,nucleus,wordnet/conceptnet,always true
2016,release year,Hajwala: The Missing Engine,wikidata,always true
Daniel Menaker,hypernym,person,wikidata,always true
Nouakchott,capital,Mauritania,wikidata,always true
dumper,meronym,wheel,wordnet/conceptnet,always true
Barry Comden,spouse,Doris Day,wikidata,always true
person,/r/Desires,accomplish goals,conceptnet,always true
kingfisher,meronym,eye,wordnet/conceptnet,always true
Fridtjof Nilsen,band member,Span,wikidata,always true
Herb Kohl,hypernym,person,wikidata,always true
segregate,hypernym,person,wordnet/conceptnet,always true
shaker,hypernym,person,wordnet/conceptnet,always true
Janet Broderick Kraft,child,James Broderick,wikidata,always true
Lawrence B. Prior III,CEO,CSRA,wikidata,always true
Costco,hypernym,company,wikidata,always true
Jascha Heifetz,spouse,Florence Vidor,wikidata,always true
goldfish,hypernym,fish,wordnet/conceptnet,always true
Jennifer Aniston,spouse,Brad Pitt,wikidata,always true
Singapore,hypernym,country,wikidata,always true
creepy-crawly,meronym,mouth,wordnet/conceptnet,always true
Michael J. Long,CEO,Arrow Electronics,wikidata,always true
Holy Expectations,hypernym,movie,wikidata,always true
Charles Boarman,hypernym,person,wikidata,always true
Marc Cohn,hypernym,person,wikidata,always true
Donna De,child,Al De Lory,wikidata,always true
Kagemasa Kozuki,founder,Konami,wikidata,always true
Heartthrob,hypernym,movie,wikidata,always true
Guyana,hypernym,country,wikidata,always true
mole,meronym,chin,wordnet/conceptnet,always true
Ellery,child,Ben Harper,wikidata,always true
peacock,meronym,snout,wordnet/conceptnet,always true
Josephine Clay,child,Josephine Clay Ford,wikidata,always true
pork,hypernym,food,wordnet/conceptnet,always true
2015,release year,Jonas,wikidata,always true
Jamie Spaniolo,band member,House of Krazees,wikidata,always true
Avengers: Infinity War,hypernym,movie,wikidata,always true
Joseph M. Gingo,CEO,A. Schulman,wikidata,always true
Denise L. Ramos,CEO,ITT,wikidata,always true
Eliot Blackwelder,hypernym,person,wikidata,always true
burglar,meronym,trait,wordnet/conceptnet,always true
person,/r/Desires,go home,conceptnet,always true
Andrzej Bartkowiak,hypernym,person,wikidata,always true
De Film van Dylan Haegens,hypernym,movie,wikidata,always true
president,meronym,organelle,wordnet/conceptnet,always true
lizard,meronym,nose,wordnet/conceptnet,always true
Linda Mendoza,director,Wanda Sykes: Not Normal,wikidata,always true
diaper,hypernym,fabric,wordnet/conceptnet,always true
chimp,meronym,tail,wordnet/conceptnet,always true
game,hypernym,activity,wordnet/conceptnet,always true
Allentown,headquarter,Air Products & Chemicals,wikidata,always true
1998,release year,"Lock, Stock and Two Smoking Barrels",wikidata,always true
Bernard Marcus,founder,The Home Depot,wikidata,always true
vanilla,meronym,stigma,wordnet/conceptnet,always true
Fishtronaut: The Movie,hypernym,movie,wikidata,always true
Gary Cohen,director,Born Strong,wikidata,always true
hood,hypernym,commodity,wordnet/conceptnet,always true
Charles Frederick,child,Oscar Arthur Moritz Lindauer,wikidata,always true
drink,/r/IsA,body of water,conceptnet,always true
kestrel,meronym,ear,wordnet/conceptnet,always true
Andrew Firestone,hypernym,person,wikidata,always true
shopkeeper,hypernym,individual,wordnet/conceptnet,always true
Page Hamilton,band member,Helmet,wikidata,always true
Rachel Jackson,child,John Donelson,wikidata,always true
Daniel Bellqvist,band member,Eskobar,wikidata,always true
"Per ""Dead"" Ohlin",band member,Morbid,wikidata,always true
Diane,child,Art Linkletter,wikidata,always true
bristle,hypernym,fiber,wordnet/conceptnet,always true
Danny O'Brien,spouse,Quinn Norton,wikidata,always true
Per Berthelsen,band member,Sume,wikidata,always true
Mary Knowles,hypernym,person,wikidata,always true
stepmother,meronym,vacuole,wordnet/conceptnet,always true
Paul Weller,band member,The Style Council,wikidata,always true
Lena Gieseke,spouse,Tim Burton,wikidata,always true
We're No Animals,hypernym,movie,wikidata,always true
Hoot Gibson,spouse,Sally Eilers,wikidata,always true
chemist,hypernym,scientist,wordnet/conceptnet,always true
Justin Pierre,band member,Farewell Continental,wikidata,always true
Adam,child,Saul Bellow,wikidata,always true
person,/r/Desires,make others happy,conceptnet,always true
Jean St. James,hypernym,person,wikidata,always true
Robert Evans,spouse,Ali MacGraw,wikidata,always true
Mark J. Gliebe,CEO,Regal Beloit,wikidata,always true
Nannie Douglas Scott,spouse,Marshall Field,wikidata,always true
Adena T. Friedman,CEO,Nasdaq,wikidata,always true
Emilie Loring,child,Emily Frances Bowles,wikidata,always true
Steve,child,Malcolm Kerr,wikidata,always true
Doug,child,Carmen Dragon,wikidata,always true
spitz,hypernym,dog,wordnet/conceptnet,always true
Kourtney,child,Robert Kardashian,wikidata,always true
Onir,director,I Am,wikidata,always true
Steven W. Berglund,CEO,Trimble,wikidata,always true
Voorhees Township,headquarter,American Water Works,wikidata,always true
Peter Matthew Hillsman Taylor,hypernym,person,wikidata,always true
Wes Farrell,hypernym,person,wikidata,always true
W.R. Berkley,hypernym,company,wikidata,always true
Activision Blizzard,hypernym,company,wikidata,always true
Wayne,hypernym,band,wikidata,always true
Lady Bird Cleveland,hypernym,person,wikidata,always true
Gail Greenwood,band member,Belly,wikidata,always true
dustpan,hypernym,quantity,wordnet/conceptnet,always true
Harvey,spouse,Gwen Gordy Fuqua,wikidata,always true
jaguar,meronym,organelle,wordnet/conceptnet,always true
Hannah Jones Floyd,hypernym,person,wikidata,always true
Olivia Hanks,child,Samantha Bryant,wikidata,always true
Edward Mallory,spouse,Joyce Bulifant,wikidata,always true
Anthony Perkins,hypernym,person,wikidata,always true
rabbit,meronym,face,wordnet/conceptnet,always true
Richard Patrick,band member,Army of Anyone,wikidata,always true
nose,/r/CapableOf,smell flowers,conceptnet,always true
George Q.,spouse,Martha Telle Cannon,wikidata,always true
joy,/r/IsA,positive stimulus,conceptnet,always true
Bob Ferry,hypernym,person,wikidata,always true
steed,hypernym,vertebrate,wordnet/conceptnet,always true
Nicholas Ray,spouse,Gloria Grahame,wikidata,always true
Blanche Ames,child,Blanche Butler Ames,wikidata,always true
bee,meronym,thorax,wordnet/conceptnet,always true
Joan,child,Dick Cusack,wikidata,always true
viper,/r/IsA,snake,conceptnet,always true
Michèle Morgan,spouse,William Marshall,wikidata,always true
robber,meronym,cell,wordnet/conceptnet,always true
Lauren Radzik,child,Nancy Newcomb,wikidata,always true
Bonni Cohen,director,Audrie & Daisy,wikidata,always true
goldfish,meronym,tail,wordnet/conceptnet,always true
cricket,meronym,snout,wordnet/conceptnet,always true
Yvette Blumenfeld Georges Deeton,child,Paul Georges,wikidata,always true
chicken,meronym,skull,wordnet/conceptnet,always true
Joseph Wilson,child,George Washington Baines,wikidata,always true
Ravi,child,John Coltrane,wikidata,always true
tip,/r/IsA,guidance,conceptnet,always true
emperor,hypernym,moth,wordnet/conceptnet,always true
peanut,hypernym,climber,wordnet/conceptnet,always true
Philippe de Broca,spouse,Margot Kidder,wikidata,always true
door,meronym,keyhole,wordnet/conceptnet,always true
bee,meronym,face,wordnet/conceptnet,always true
dog,/r/CapableOf,drink water,conceptnet,always true
construction,/r/IsA,interpretation,conceptnet,always true
owl,meronym,vacuole,wordnet/conceptnet,always true
Cissy Houstom,hypernym,person,wikidata,always true
Rebecca Boylston,spouse,Moses Gill,wikidata,always true
El Segundo,headquarter,PCM,wikidata,always true
Amy,child,Henry Ephron,wikidata,always true
New York,headquarter,Consolidated Edison,wikidata,always true
Nationstar Mortgage Holdings,hypernym,company,wikidata,always true
Lars Onsager,hypernym,person,wikidata,always true
alligator,meronym,mouth,wordnet/conceptnet,always true
Marion Hutton,spouse,Jack Douglas,wikidata,always true
georgette,hypernym,fabric,wordnet/conceptnet,always true
feeling,/r/IsA,intuition,conceptnet,always true
Atom Egoyan,director,The Captive,wikidata,always true
livestock,meronym,nucleus,wordnet/conceptnet,always true
mosquito,meronym,eyelid,wordnet/conceptnet,always true
snail,meronym,eyelid,wordnet/conceptnet,always true
Alexandre Rockwell,spouse,Karyn Parsons,wikidata,always true
crust,meronym,asthenosphere,wordnet/conceptnet,always true
Maria Virginia Slade,spouse,James Henry Kiskadden,wikidata,always true
carnivore,meronym,cell,wordnet/conceptnet,always true
Q65949060,spouse,Bill Robinson,wikidata,always true
observatory,meronym,base,wordnet/conceptnet,always true
Nochniye Snaiperi,hypernym,band,wikidata,always true
Aerojet Rocketdyne Holdings,hypernym,company,wikidata,always true
Honiara,capital,Solomon Islands,wikidata,always true
Andrew Hamilton,hypernym,person,wikidata,always true
Ryder System,hypernym,company,wikidata,always true
Pittsburgh Steelers,super bowl winner,2006,wikidata,always true
Chet,child,Tom Hanks,wikidata,always true
person,/r/Desires,fast car,conceptnet,always true
sport,/r/IsA,vacationer,conceptnet,always true
Caseys General Stores,hypernym,company,wikidata,always true
Spike Cassidy,band member,Dirty Rotten Imbeciles,wikidata,always true
Friedrich Hollaender,spouse,Hedi Schoop,wikidata,always true
lioness,meronym,mane,wordnet/conceptnet,always true
Aldo Ray,hypernym,person,wikidata,always true
hornet,meronym,cheek,wordnet/conceptnet,always true
J. Patrick Gallagher Jr.,CEO,Arthur J. Gallagher,wikidata,always true
honesty,hypernym,herb,wordnet/conceptnet,always true
USAA,hypernym,company,wikidata,always true
Margaretta Faugères,child,Ann Eliza Bleecker,wikidata,always true
Chris,child,Roy Romer,wikidata,always true
"Stephen Edward Smith, Jr.",child,Stephen Edward Smith,wikidata,always true
starlight,hypernym,energy,wordnet/conceptnet,always true
baker,hypernym,person,wordnet/conceptnet,always true
Orson Desaix Munn II,spouse,Margaret Lawrence,wikidata,always true
vertebrate,meronym,face,wordnet/conceptnet,always true
The Devil and Father Amorth,hypernym,movie,wikidata,always true
tourist,meronym,vacuole,wordnet/conceptnet,always true
lentil,hypernym,vegetable,wordnet/conceptnet,always true
Timothy C. Wentworth,CEO,Express Scripts Holding,wikidata,always true
Bring It On: Worldwide Showdown,hypernym,movie,wikidata,always true
Rose Tattoo,hypernym,band,wikidata,always true
flounder,meronym,clapper,wordnet/conceptnet,always true
Joe Rogan: Strange Times,hypernym,movie,wikidata,always true
budgerigar,meronym,eye,wordnet/conceptnet,always true
peppermint,hypernym,mint,wordnet/conceptnet,always true
lizard,meronym,clapper,wordnet/conceptnet,always true
Hartman,child,Benjamin Franklin Bache,wikidata,always true
viper,meronym,ear,wordnet/conceptnet,always true
panda,meronym,brow,wordnet/conceptnet,always true
Luke Kelly,band member,The Dubliners,wikidata,always true
Jeffrey,child,Robert William Gettleman,wikidata,always true
poppy,meronym,pistil,wordnet/conceptnet,always true
Akiko Fukuoka,band member,Chatmonchy,wikidata,always true
building,meronym,courtyard,wordnet/conceptnet,always true
juggler,hypernym,person,wordnet/conceptnet,always true
Carlos Abrams-Rivera,CEO,Snyders-Lance,wikidata,always true
Nelson Rockefeller,hypernym,person,wikidata,always true
sleuth,hypernym,person,wordnet/conceptnet,always true
Dominick Dunne,hypernym,person,wikidata,always true
Galveston,headquarter,American National Insurance,wikidata,always true
submarine,meronym,deck,wordnet/conceptnet,always true
emo,band member,Linea 77,wikidata,always true
stable,meronym,floor,wordnet/conceptnet,always true
meniscus,hypernym,surface,wordnet/conceptnet,always true
side,/r/IsA,aspect,conceptnet,always true
Caroline,spouse,Benjamin Harrison,wikidata,always true
Cavi Borges,director,City of God: 10 Years Later,wikidata,always true
reptile,meronym,face,wordnet/conceptnet,always true
BMC Stock Holdings,hypernym,company,wikidata,always true
Tajikistan,hypernym,country,wikidata,always true
Hunter Biden,child,Neilia Hunter,wikidata,always true
rat,meronym,eye,wordnet/conceptnet,always true
dormouse,meronym,face,wordnet/conceptnet,always true
hog,meronym,vacuole,wordnet/conceptnet,always true
oryx,meronym,nucleus,wordnet/conceptnet,always true
Michaele Salahi,spouse,Neal Schon,wikidata,always true
Xylem,hypernym,company,wikidata,always true
Arrow Electronics,hypernym,company,wikidata,always true
R.R. Donnelley & Sons,hypernym,company,wikidata,always true
seal,meronym,cheek,wordnet/conceptnet,always true
Despido Procedente,hypernym,movie,wikidata,always true
Quentin Tarantino,director,Pulp Fiction,wikidata,always true
Slot,hypernym,band,wikidata,always true
Liz Enthusiasm,band member,Freezepop,wikidata,always true
Dave Dresden,band member,Gabriel & Dresden,wikidata,always true
Villeroy & Boch,hypernym,company,wikidata,always true
Werner Klemperer,hypernym,person,wikidata,always true
Cynthia,child,Jack Pepper,wikidata,always true
Jane Byrne,hypernym,person,wikidata,always true
Orbital ATK,hypernym,company,wikidata,always true
The Celtic Social Club,hypernym,band,wikidata,always true
Lauralee,child,Lee Phillip Bell,wikidata,always true
eagle,hypernym,bird,wordnet/conceptnet,always true
wave,/r/IsA,weather,conceptnet,always true
toucan,hypernym,bird,wordnet/conceptnet,always true
James Ivory,director,Howards End,wikidata,always true
ledge,hypernym,formation,wordnet/conceptnet,always true
Jasmine D'Souza,director,One Night Stand,wikidata,always true
Chervona Ruta,hypernym,band,wikidata,always true
Jason Sussberg,director,Bill Nye: Science Guy,wikidata,always true
Nelson,spouse,Mary Rockefeller,wikidata,always true
Laura Clay,child,Mary Jane Warfield,wikidata,always true
Marriott Vacations Worldwide,hypernym,company,wikidata,always true
John Lennon,band member,Plastic Ono Band,wikidata,always true
sorrow,hypernym,feeling,wordnet/conceptnet,always true
buck,meronym,cheek,wordnet/conceptnet,always true
Marina Sirtis,spouse,Michael Lampert,wikidata,always true
P,hypernym,movie,wikidata,always true
Juha Harju,band member,Shade Empire,wikidata,always true
Blake Anderson,hypernym,person,wikidata,always true
"Joe Morrone, Jr.",child,Joe Morrone,wikidata,always true
Menlo Park,headquarter,Facebook,wikidata,always true
kangaroo,meronym,tail,wordnet/conceptnet,always true
Ash Brannon,director,Surf's Up,wikidata,always true
Dorothy Little Happy,hypernym,band,wikidata,always true
Vince Melouney,band member,Bee Gees,wikidata,always true
dung,hypernym,waste,wordnet/conceptnet,always true
Nick Franglen,band member,Lemon Jelly,wikidata,always true
Hiromasa Yonebayashi,director,Mary and the Witch's Flower,wikidata,always true
Sam Clancy,hypernym,person,wikidata,always true
almond,hypernym,nut,wordnet/conceptnet,always true
bat,meronym,nucleus,wordnet/conceptnet,always true
Surf's Up,hypernym,movie,wikidata,always true
Daniel,child,Judea Pearl,wikidata,always true
Howard,child,William Wistar Comfort,wikidata,always true
Never Heard,hypernym,movie,wikidata,always true
Henry Judson,child,Judson Canfield,wikidata,always true
person,/r/Desires,excited,conceptnet,always true
farmhouse,meronym,storey,wordnet/conceptnet,always true
Wilmington,headquarter,Charles River Laboratories Intl,wikidata,always true
Louisville,headquarter,Yum Brands,wikidata,always true
fiber,hypernym,material,wordnet/conceptnet,always true
Jeffrey Gennette,CEO,Macys,wikidata,always true
Marco Luque: Tamo Junto,hypernym,movie,wikidata,always true
2017,release year,12 ROUND GUN,wikidata,always true
Negu Gorriak,hypernym,band,wikidata,always true
The Beautiful South,hypernym,band,wikidata,always true
tyrannosaurus,hypernym,animal,wordnet/conceptnet,always true
The Square,hypernym,movie,wikidata,always true
Billie Holiday,spouse,Joe Guy,wikidata,always true
Krulle,band member,Dret & Krulle,wikidata,always true
Nidaime J Soul Brothers,band member,J Soul Brothers,wikidata,always true
Aimee Echo,band member,Human Waste Project,wikidata,always true
ACCO Brands,hypernym,company,wikidata,always true
Zeeland,headquarter,Herman Miller,wikidata,always true
Washington Redskins,super bowl loser,1984,wikidata,always true
Bill Melendez,hypernym,person,wikidata,always true
cannonball,hypernym,instrument,wordnet/conceptnet,always true
mint,hypernym,herb,wordnet/conceptnet,always true
Tyketto,hypernym,band,wikidata,always true
Russell A. Mittermeier,hypernym,person,wikidata,always true
Strike a Pose,hypernym,movie,wikidata,always true
Paraguay,hypernym,country,wikidata,always true
EchoStar,hypernym,company,wikidata,always true
dumper,meronym,fan,wordnet/conceptnet,always true
arteritis,hypernym,inflammation,wordnet/conceptnet,always true
kennel,meronym,ceiling,wordnet/conceptnet,always true
cattle,meronym,hoof,wordnet/conceptnet,always true
Natalia Starzynski,spouse,Dallas Davidson,wikidata,always true
backwoodsman,meronym,organelle,wordnet/conceptnet,always true
Chris Buck,hypernym,person,wikidata,always true
2017,release year,The Russian Revolution,wikidata,always true
stud,hypernym,vertebrate,wordnet/conceptnet,always true
Ralph Forbes,spouse,Ruth Chatterton,wikidata,always true
The Last Hangover,hypernym,movie,wikidata,always true
Johnny Sequoyah,child,Russell Friedenberg,wikidata,always true
The Kinks,hypernym,band,wikidata,always true
Elizabeth Bender Roe Cloud,hypernym,person,wikidata,always true
inhabitant,hypernym,person,wordnet/conceptnet,always true
Eugenie Paul,spouse,Thomas Jefferson,wikidata,always true
Brandon Henschel,hypernym,person,wikidata,always true
rider,/r/PartOf,bill,conceptnet,always true
"George Herbert Walker, Jr.",child,George Herbert Walker,wikidata,always true
James Mangold,director,Kate & Leopold,wikidata,always true
Loose Fur,hypernym,band,wikidata,always true
ABM Industries,hypernym,company,wikidata,always true
Anna Luther,spouse,Ed Gallagher,wikidata,always true
Lem Dobbs,child,R. B. Kitaj,wikidata,always true
Birch,child,Birch Bayh,wikidata,always true
weakling,hypernym,person,wordnet/conceptnet,always true
NCR,hypernym,company,wikidata,always true
Peggy,spouse,Norman Lloyd,wikidata,always true
Dennis Quaid,hypernym,person,wikidata,always true
scavenger,meronym,vacuole,wordnet/conceptnet,always true
caribou,meronym,jaw,wordnet/conceptnet,always true
shirt,hypernym,garment,wordnet/conceptnet,always true
silverfish,meronym,cheek,wordnet/conceptnet,always true
Camper Van Beethoven,hypernym,band,wikidata,always true
nibbler,hypernym,person,wordnet/conceptnet,always true
company,/r/IsA,army unit,conceptnet,always true
James Gardner,band member,Apollo 440,wikidata,always true
Larry D. De Shon,CEO,Avis Budget Group,wikidata,always true
"John Copley, 1st Baron Lyndhurst",child,John Singleton Copley,wikidata,always true
Thong Dee Fun Khao,hypernym,movie,wikidata,always true
Brookfield,headquarter,Fiserv,wikidata,always true
Qualcomm,hypernym,company,wikidata,always true
Lucy R. Lippard,hypernym,person,wikidata,always true
Chester C. Bolton,hypernym,person,wikidata,always true
